item_id,client_id,item_name,item_data_description,item_status,item_image,item_time
2415,1,pir,pir,1,pir.png,2021-07-06T19:08:12.000Z
2417,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:08:18.000Z
2421,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:08:25.000Z
2430,1,pir,pir,1,pir.png,2021-07-06T19:08:31.000Z
2433,1,gas,gas,0,gas.png,2021-07-06T19:08:37.000Z
2436,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:08:43.000Z
2437,1,dht/tc,temp,29.50,tem.png,2021-07-06T19:08:43.000Z
2444,1,ldr,ldr,0,ldr.png,2021-07-06T19:08:49.000Z
2450,1,pir,pir,1,pir.png,2021-07-06T19:08:55.000Z
2451,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:09:01.000Z
2456,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:09:07.000Z
2465,1,pir,pir,1,pir.png,2021-07-06T19:09:13.000Z
2470,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:09:19.000Z
2472,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:09:25.000Z
2476,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:09:31.000Z
2484,1,pir,pir,1,pir.png,2021-07-06T19:09:38.000Z
2487,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:09:44.000Z
2493,1,gas,gas,0,gas.png,2021-07-06T19:09:50.000Z
2497,1,gas,gas,0,gas.png,2021-07-06T19:09:56.000Z
2504,1,ldr,ldr,0,ldr.png,2021-07-06T19:10:02.000Z
2507,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:10:08.000Z
2514,1,ldr,ldr,0,ldr.png,2021-07-06T19:10:14.000Z
2516,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:10:20.000Z
2523,1,pir,pir,1,pir.png,2021-07-06T19:10:26.000Z
2529,1,gas,gas,0,gas.png,2021-07-06T19:10:32.000Z
2842,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:16:56.000Z
2850,1,gas,gas,0,gas.png,2021-07-06T19:17:02.000Z
2854,1,ldr,ldr,0,ldr.png,2021-07-06T19:17:08.000Z
702,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:33:25.000Z
707,1,gas,gas,0,gas.png,2021-07-06T18:33:32.000Z
712,1,dht/tc,temp,29.80,tem.png,2021-07-06T18:33:38.000Z
719,1,gas,gas,0,gas.png,2021-07-06T18:33:44.000Z
721,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:33:50.000Z
729,1,ldr,ldr,0,ldr.png,2021-07-06T18:33:56.000Z
731,1,dht/tc,temp,29.70,tem.png,2021-07-06T18:34:02.000Z
1107,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:41:38.000Z
1115,1,pir,pir,1,pir.png,2021-07-06T18:41:44.000Z
1270,1,pir,pir,1,pir.png,2021-07-06T18:44:59.000Z
1271,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:45:05.000Z
1279,1,pir,pir,1,pir.png,2021-07-06T18:45:11.000Z
1283,1,gas,gas,0,gas.png,2021-07-06T18:45:17.000Z
1287,1,gas,gas,0,gas.png,2021-07-06T18:45:23.000Z
1294,1,dht/tc,temp,29.60,tem.png,2021-07-06T18:45:29.000Z
1299,1,gas,gas,0,gas.png,2021-07-06T18:45:36.000Z
1301,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:45:42.000Z
1309,1,pir,pir,1,pir.png,2021-07-06T18:45:48.000Z
1314,1,gas,gas,0,gas.png,2021-07-06T18:45:54.000Z
1316,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:46:00.000Z
1325,1,pir,pir,1,pir.png,2021-07-06T18:46:06.000Z
1327,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:46:12.000Z
1333,1,gas,gas,0,gas.png,2021-07-06T18:46:18.000Z
1336,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:46:24.000Z
1341,1,pir,pir,1,pir.png,2021-07-06T18:46:30.000Z
1350,1,pir,pir,1,pir.png,2021-07-06T18:46:36.000Z
1351,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:46:42.000Z
1592,1,dht/tc,temp,29.40,tem.png,2021-07-06T18:51:35.000Z
